Maturity,Strike,Price,IV
0.128767123,6000,356.96,0.151782494
0.128767123,6200,209.29,0.151240339
0.128767123,6500,44.89,0.11962296
0.128767123,6700,9.25,0.111962505
0.128767123,6900,1.74,0.114370361
0.243835616,6000,435.05,0.174987917
0.243835616,6200,280.98,0.156472919
0.243835616,6500,101.2,0.128567544
0.243835616,6700,38.39,0.118227085
0.243835616,6900,11.93,0.113498401
0.358658453,6000,477.39,0.163089291
0.358658453,6200,341.79,0.159792919
0.358658453,6500,155.06,0.13505465
0.358658453,6700,76.48,0.12456722
0.358658453,6900,34,0.119705583
0.493150685,6000,559.31,0.180369787
0.493150685,6200,407.2,0.163700078
0.493150685,6500,214,0.140461177
0.493150685,6700,122.08,0.129086454
0.493150685,6900,62.5,0.121336079
0.665297741,6000,623.42,0.176420541
0.665297741,6200,477.48,0.164401646
0.665297741,6500,283.3,0.145014907
0.665297741,6700,179.62,0.133034312
0.665297741,6900,109.16,0.126694398
0.742465753,6000,636.2,0.167184347
0.742465753,6200,488.88,0.155599387
0.742465753,6500,295.62,0.138682676
0.742465753,6700,206.71,0.135285018
0.742465753,6900,129.17,0.127668479
0.128767123,0,6329.958489,
0.243835616,0,6359.746213,
0.358658453,0,6389.61007,
0.493150685,0,6424.768042,
0.665297741,0,6470.051884,
0.742465753,0,6490.454652,
