Maturity,Strike,Price,IV
0.128767123,6000,356.96,0.151782494
0.128767123,6150,260,0.173622884
0.128767123,6200,209.29,0.151240339
0.128767123,6250,179.97,0.15244235
0.128767123,6300,148.1,0.147540482
0.128767123,6350,110.2,0.132818451
0.128767123,6400,85,0.128582681
0.128767123,6450,61.7,0.122401217
0.128767123,6500,44.89,0.11962296
0.128767123,6550,32,0.11770103
0.128767123,6650,14.21,0.113036963
0.128767123,6750,5.95,0.111445996
0.128767123,6900,1.74,0.114370361
0.24366872,6000,435.05,0.175078874
0.24366872,6150,328.26,0.170765924
0.24366872,6200,280.98,0.156548653
0.24366872,6250,245.94,0.151848502
0.24366872,6300,214.65,0.148779572
0.24366872,6350,181.15,0.142316739
0.24366872,6400,151.78,0.137483256
0.24366872,6450,124.14,0.132151436
0.24366872,6500,101.2,0.128624688
0.24366872,6550,81.7,0.1258861
0.24366872,6650,50.5,0.120824169
0.24366872,6750,29,0.116476371
0.24366872,6900,11.93,0.113544433
0.358658453,6000,477.39,0.163089291
0.358658453,6150,376.58,0.162853681
0.358658453,6200,341.79,0.159792919
0.358658453,6250,308.2,0.156633132
0.358658453,6300,274.38,0.152346405
0.358658453,6350,236.8,0.144551053
0.358658453,6400,207.15,0.140998181
0.358658453,6450,186.1,0.141981926
0.358658453,6500,155.06,0.13505465
0.358658453,6550,133.49,0.133170344
0.358658453,6650,86.46,0.12218062
0.358658453,6750,64.47,0.124198336
0.358658453,6900,34,0.119705583
0.493150685,6000,559.31,0.180369787
0.493150685,6150,441.9,0.166600919
0.493150685,6200,407.2,0.163700078
0.493150685,6250,369.1,0.158135035
0.493150685,6300,338.27,0.156228209
0.493150685,6350,303.7,0.151429936
0.493150685,6400,272,0.147555589
0.493150685,6450,242,0.143861297
0.493150685,6500,214,0.140461177
0.493150685,6550,194.5,0.141033849
0.493150685,6650,140.55,0.130745988
0.493150685,6750,104.15,0.126739653
0.493150685,6900,62.5,0.121336079
0.665297741,6000,623.42,0.176420541
0.665297741,6150,491.8,0.156074123
0.665297741,6200,477.48,0.164401646
0.665297741,6250,452.38,0.16619353
0.665297741,6300,405.28,0.156219162
0.665297741,6350,373.42,0.153565756
0.665297741,6400,344.84,0.152000313
0.665297741,6450,312.1,0.147827349
0.665297741,6500,283.3,0.145014907
0.665297741,6550,256.96,0.142798043
0.665297741,6650,204.1,0.136343704
0.665297741,6750,164.25,0.133660486
0.665297741,6900,109.16,0.126694398
0.742465753,6000,636.2,0.167184347
0.742465753,6150,548.87,0.170926754
0.742465753,6200,488.88,0.155599387
0.742465753,6250,464.72,0.157943342
0.742465753,6300,425.25,0.152281727
0.742465753,6350,404.9,0.155335498
0.742465753,6400,349.6,0.141383659
0.742465753,6450,340.66,0.148704193
0.742465753,6500,295.62,0.138682676
0.742465753,6550,287.45,0.145184637
0.742465753,6650,238.4,0.141415274
0.742465753,6750,188.41,0.134845726
0.742465753,6900,129.17,0.127668479
