Maturity,Strike,Price,IV
0.109514031,6000,370.98,0.19727679
0.109514031,6150,247.82,0.176046624
0.109514031,6175,212.64,0.150893231
0.109514031,6200,196.59,0.151419631
0.109514031,6225,177.37,0.146909521
0.109514031,6250,161.01,0.145234247
0.109514031,6275,144.03,0.141885587
0.109514031,6300,129.73,0.140876802
0.109514031,6325,113.53,0.13658585
0.109514031,6350,99.68,0.134098375
0.109514031,6400,73.72,0.127887183
0.109514031,6450,54.14,0.124873315
0.109514031,6500,38.06,0.121589274
0.109514031,6550,25.65,0.118529553
0.109514031,6650,10.71,0.114763277
0.109514031,6700,6.7,0.113856809
0.109514031,6750,4.2,0.113830763
0.109514031,6800,2.62,0.114236105
0.109514031,6900,1.35,0.120519226
0.109589041,6000,370.98,0.197184819
0.109589041,6150,247.82,0.175969048
0.109589041,6175,212.64,0.15082421
0.109589041,6200,196.59,0.151351762
0.109589041,6225,177.37,0.146844208
0.109589041,6250,161.01,0.145170546
0.109589041,6275,144.03,0.141823956
0.109589041,6300,129.73,0.140816402
0.109589041,6325,113.53,0.136527718
0.109589041,6350,99.68,0.134041847
0.109589041,6400,73.72,0.127834144
0.109589041,6450,54.14,0.12482244
0.109589041,6500,38.06,0.121540484
0.109589041,6550,25.65,0.118482624
0.109589041,6650,10.71,0.114718866
0.109589041,6700,6.7,0.113813166
0.109589041,6750,4.2,0.113787499
0.109589041,6800,2.62,0.11419301
0.109589041,6900,1.35,0.120474352
0.128767123,6000,356.96,0.151782494
0.128767123,6150,260,0.173622884
0.128767123,6175,219.59,0.143807535
0.128767123,6200,209.29,0.151240339
0.128767123,6225,165.39,0.117503956
0.128767123,6250,179.97,0.15244235
0.128767123,6275,134.43,0.116813976
0.128767123,6300,148.1,0.147540482
0.128767123,6325,123.92,0.134782844
0.128767123,6350,110.2,0.132818451
0.128767123,6400,85,0.128582681
0.128767123,6450,61.7,0.122401217
0.128767123,6500,44.89,0.11962296
0.128767123,6550,32,0.11770103
0.128767123,6650,14.21,0.113036963
0.128767123,6700,9.25,0.111962505
0.128767123,6750,5.95,0.111445996
0.128767123,6800,4.25,0.113716537
0.128767123,6900,1.74,0.114370361
0.167008898,6000,394.86,0.177521367
0.167008898,6150,269.6,0.156005322
0.167008898,6175,263.7,0.167227291
0.167008898,6200,233.92,0.152356382
0.167008898,6225,215.1,0.148730743
0.167008898,6250,199.11,0.147473488
0.167008898,6275,182.36,0.144864106
0.167008898,6300,165.99,0.142048813
0.167008898,6325,148,0.137044467
0.167008898,6350,134.4,0.135683916
0.167008898,6400,107.35,0.131022004
0.167008898,6450,84.5,0.127544865
0.167008898,6500,63.26,0.122471333
0.167008898,6550,47.41,0.11982383
0.167008898,6650,24.88,0.115647465
0.167008898,6700,17.1,0.113409398
0.167008898,6750,11.95,0.112712619
0.167008898,6800,8.1,0.111851608
0.167008898,6900,3.9,0.112604787
0.197125257,6000,408.8,0.173596626
0.197125257,6150,264.69,0.133214271
0.197125257,6175,277.56,0.162799293
0.197125257,6200,251.79,0.152923362
0.197125257,6225,233.1,0.149590064
0.197125257,6250,214.8,0.146204834
0.197125257,6275,200.68,0.146211965
0.197125257,6300,183,0.142446468
0.197125257,6325,168.8,0.141325923
0.197125257,6350,147.92,0.133668092
0.197125257,6400,121,0.129936986
0.197125257,6450,95.9,0.125328145
0.197125257,6500,76.3,0.123165106
0.197125257,6550,57.9,0.119365665
0.197125257,6650,32.6,0.115319966
0.197125257,6700,23.6,0.113456633
0.197125257,6750,17.1,0.112529254
0.197125257,6800,12.45,0.112346934
0.197125257,6900,6.1,0.11130086
0.24366872,6000,435.05,0.175078874
0.24366872,6150,328.26,0.170765924
0.24366872,6175,286.24,0.147532867
0.24366872,6200,280.98,0.156548653
0.24366872,6225,239.74,0.134129361
0.24366872,6250,245.94,0.151848502
0.24366872,6275,231.88,0.151821654
0.24366872,6300,214.65,0.148779572
0.24366872,6325,192.48,0.141349985
0.24366872,6350,181.15,0.142316739
0.24366872,6400,151.78,0.137483256
0.24366872,6450,124.14,0.132151436
0.24366872,6500,101.2,0.128624688
0.24366872,6550,81.7,0.1258861
0.24366872,6650,50.5,0.120824169
0.24366872,6700,38.39,0.118276996
0.24366872,6750,29,0.116476371
0.24366872,6800,24.1,0.118777493
0.24366872,6900,11.93,0.113544433
0.243835616,6000,435.05,0.174987917
0.243835616,6150,328.26,0.170683945
0.243835616,6175,286.24,0.147458556
0.243835616,6200,280.98,0.156472919
0.243835616,6225,239.74,0.134061305
0.243835616,6250,245.94,0.151776193
0.243835616,6275,231.88,0.151750266
0.243835616,6300,214.65,0.148710022
0.243835616,6325,192.48,0.141283702
0.243835616,6350,181.15,0.142250925
0.243835616,6400,151.78,0.137420535
0.243835616,6450,124.14,0.132091877
0.243835616,6500,101.2,0.128567544
